readiness_rank,asset_review_readiness_bucket,candidate_next_action_bucket,sport_family,sport_label,league_name,asset_domain,candidate_entity_id,source_tier,source_domain,advisory_source_candidate_urls,triage_row_ref,triage_file,source_priority_rank_range,source_priority_csv_filter,source_priority_file,review_board_to_open,manual_intake_file_to_open,future_download_intake_file,render_readiness,asset_review_blocker,future_download_intake_status,next_manual_action,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
27,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,detroit,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,www.thepwhl.com,https://www.thepwhl.com/en/teams/detroit,data/asset_registry/hockey_softball_asset_review_triage.csv#row=20,data/asset_registry/hockey_softball_asset_review_triage.csv,56,sport_family=womens_hockey;asset_domain=logo;candidate_entity_id=detroit,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
28,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,hamilton,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,www.thepwhl.com,https://www.thepwhl.com/en/teams/hamilton,data/asset_registry/hockey_softball_asset_review_triage.csv#row=21,data/asset_registry/hockey_softball_asset_review_triage.csv,57,sport_family=womens_hockey;asset_domain=logo;candidate_entity_id=hamilton,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
29,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,las_vegas,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,www.thepwhl.com,https://www.thepwhl.com/en/teams/las-vegas,data/asset_registry/hockey_softball_asset_review_triage.csv#row=22,data/asset_registry/hockey_softball_asset_review_triage.csv,58,sport_family=womens_hockey;asset_domain=logo;candidate_entity_id=las_vegas,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
30,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,minnesota_frost,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,www.thepwhl.com,https://www.thepwhl.com/en/teams/minnesota-frost,data/asset_registry/hockey_softball_asset_review_triage.csv#row=23,data/asset_registry/hockey_softball_asset_review_triage.csv,59,sport_family=womens_hockey;asset_domain=logo;candidate_entity_id=minnesota_frost,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
31,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,montreal_victoire,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,www.thepwhl.com,https://www.thepwhl.com/en/teams/montreal-victoire,data/asset_registry/hockey_softball_asset_review_triage.csv#row=24,data/asset_registry/hockey_softball_asset_review_triage.csv,60,sport_family=womens_hockey;asset_domain=logo;candidate_entity_id=montreal_victoire,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
32,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,new_york_sirens,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,www.thepwhl.com,https://www.thepwhl.com/en/teams/new-york-sirens,data/asset_registry/hockey_softball_asset_review_triage.csv#row=25,data/asset_registry/hockey_softball_asset_review_triage.csv,61,sport_family=womens_hockey;asset_domain=logo;candidate_entity_id=new_york_sirens,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
33,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,ottawa_charge,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,www.thepwhl.com,https://www.thepwhl.com/en/teams/ottawa-charge,data/asset_registry/hockey_softball_asset_review_triage.csv#row=26,data/asset_registry/hockey_softball_asset_review_triage.csv,62,sport_family=womens_hockey;asset_domain=logo;candidate_entity_id=ottawa_charge,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
34,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,pwhl,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,www.thepwhl.com,https://www.thepwhl.com/en/,data/asset_registry/hockey_softball_asset_review_triage.csv#row=27,data/asset_registry/hockey_softball_asset_review_triage.csv,63,sport_family=womens_hockey;asset_domain=logo;candidate_entity_id=pwhl,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
35,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,san_jose,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,www.thepwhl.com,https://www.thepwhl.com/en/teams/san-jose,data/asset_registry/hockey_softball_asset_review_triage.csv#row=28,data/asset_registry/hockey_softball_asset_review_triage.csv,64,sport_family=womens_hockey;asset_domain=logo;candidate_entity_id=san_jose,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
36,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,seattle_torrent,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,www.thepwhl.com,https://www.thepwhl.com/en/teams/seattle-torrent,data/asset_registry/hockey_softball_asset_review_triage.csv#row=29,data/asset_registry/hockey_softball_asset_review_triage.csv,65,sport_family=womens_hockey;asset_domain=logo;candidate_entity_id=seattle_torrent,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
37,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,toronto_sceptres,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,www.thepwhl.com,https://www.thepwhl.com/en/teams/toronto-sceptres,data/asset_registry/hockey_softball_asset_review_triage.csv#row=30,data/asset_registry/hockey_softball_asset_review_triage.csv,66,sport_family=womens_hockey;asset_domain=logo;candidate_entity_id=toronto_sceptres,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
38,local_logo_candidate_needed_before_logo_review,local_logo_candidate_needed,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,vancouver_goldeneyes,P1_SOURCE_REVIEWED_LOCAL_ASSET_MISSING,www.thepwhl.com,https://www.thepwhl.com/en/teams/vancouver-goldeneyes,data/asset_registry/hockey_softball_asset_review_triage.csv#row=31,data/asset_registry/hockey_softball_asset_review_triage.csv,67,sport_family=womens_hockey;asset_domain=logo;candidate_entity_id=vancouver_goldeneyes,data/asset_registry/hockey_softball_source_priority_worksheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,not_render_ready_review_only,local_logo_candidate_missing_after_source_review,human_edited_intake_required_no_generated_authorization,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
